spt,sptn,mass_ms,mass_ms_error,mass_prems, mass_prems_error  ,radius_ms,radius_ms_error,radius_prems,radius_prems_error,t_eff,conv_blueshift,conv_blueshift_error,grav_redshift_ms,grav_redshift_ms_error,grav_redshift_prems,grav_redshift_prems_error,total_shift_ms,total_shift_ms_error,total_shift_prems,total_shift_prems_error
,,m_sol,m_sol,m_sol,m_sol,r_sol,r_sol,r_sol,r_sol,K,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s
M1.0,61.0,0.49000001,0.051205002,0.66850894,0.073201728,0.49680000,0.044712002,0.82356398,0.16471280,0.0000000,-0.020610302,0.20629741,0.650728,0.0903816,0.540249,0.124987,0.63011780,0.22522758,0.51963911,0.24120604
M1.5,61.5,0.47000000,0.049115002,0.64369854,0.070484989,0.46360000,0.041724002,0.80285601,0.16057120,0.0000000,-0.018034014,0.20629741,0.653845,0.0906985,0.520509,0.120395,0.63581100,0.22535491,0.50247469,0.23885903
M2.0,62.0,0.44000000,0.045980003,0.60493802,0.066240712,0.43040000,0.038736002,0.78187415,0.15637483,0.0000000,-0.015457727,0.20629741,0.656962,0.0908220,0.495949,0.114697,0.64150413,0.22540466,0.48049083,0.23603799
M2.5,62.5,0.40000001,0.041800003,0.55206694,0.060451329,0.38940000,0.035046001,0.75951796,0.15190359,0.0000000,-0.012881439,0.20629741,0.658824,0.0876655,0.459338,0.106338,0.64594271,0.22415143,0.44645678,0.23209121
M3.0,63.0,0.36000001,0.037620004,0.49877860,0.054616256,0.34900000,0.031410001,0.72930598,0.14586120,0.0000000,-0.010305151,0.20629741,0.635112,0.0842581,0.417799,0.0965486,0.62480684,0.22284088,0.40749429,0.22777237
M3.5,63.5,0.25999999,0.027170001,0.36161974,0.039597361,0.31080000,0.027972001,0.68386594,0.13677319,0.0000000,-0.0077288634,0.20629741,0.609011,0.0807747,0.363532,0.0841426,0.60128225,0.22154724,0.35580290,0.22279720
M4.0,64.0,0.22000000,0.022990001,0.30716732,0.033634821,0.27200000,0.024480001,0.63527094,0.12705419,0.0000000,-0.0051525756,0.20629741,0.581073,0.0772913,0.307284,0.0712605,0.57592059,0.22030108,0.30213095,0.21825828
M4.5,64.5,0.18000001,0.018810002,0.21269080,0.023289643,0.22800000,0.020520001,0.59914794,0.11899770,0.0000000,-0.0025762878,0.20629741,0.550279,0.0738079,0.250246,0.0585634,0.54770309,0.21910322,0.24767015,0.21444881
M5.0,65.0,0.16000000,0.016720001,0.15999999,0.017519999,0.19520000,0.017568001,0.54528042,0.11157731,0.0000000,0.0000000,0.20629741,0.513229,0.0740418,0.204197,0.0488550,0.51322895,0.21918213,0.20419720,0.21200338
M5.5,65.5,0.12000000,0.012540000,0.12000000,0.013139999,0.16940000,0.015246001,0.48384571,0.10474556,0.0000000,0.0000000,0.20600000,0.500537,0.0790717,0.158596,0.0406178,0.50053668,0.22065431,0.15859579,0.20996619
M6.0,66.0,0.10755376,0.015093324,0.073858075,0.011964944,0.15108000,0.012996001,0.41678554,0.089084949,0.0000000,0.0000000,0.20600000,0.491816,0.0908403,0.127578,0.0362035,0.49181610,0.22513987,0.12757780,0.20915710
M6.5,66.5,0.096398432,0.018166541,0.045458463,0.010894969,0.13225022,0.011430000,0.34631658,0.075765769,0.0000000,0.0000000,0.20600000,0.493316,0.114156,0.104689,0.0334637,0.49331591,0.23551545,0.10468862,0.20870031
M7.0,67.0,0.086400119,0.021865508,0.027978956,0.0099206774,0.11795175,0.010746000,0.28102870,0.064437953,0.0000000,0.0000000,0.20600000,0.501821,0.139097,0.0871724,0.0318894,0.50182134,0.24856393,0.087172441,0.20845368
